"# background genes","# genes","category","chart color","description","FDR value","genes","network.SUID","nodes.SUID","p-value","PMID","term name","transferred FDR value","year"
"6403","14","TISSUES","","Endocrine gland","0.0026","STAG2|MAU2|CDCA5|NIPBL|RAD21|WAPL|PLK1|PDS5A|PDS5B|AURKB|SMC1A|SMC3|CDC20|STAG1","580","669|717|723|729|765|753|711|771|741|705|777|759|672|747","8.65E-6","","BTO:0001488","0.2585026652029182","0"
"505","5","Monarch Phenotype","","Abnormal eyebrow morphology","0.0026","NIPBL|RAD21|SMC1A|SMC3|STAG1","580","729|765|777|759|747","3.92E-5","","HP:0000534","0.2585026652029182","0"
"241","4","Monarch Phenotype","","Pectus excavatum","0.0026","NIPBL|RAD21|SMC1A|SMC3","580","729|765|777|759","3.77E-5","","HP:0000767","0.2585026652029182","0"
"242","4","Monarch Phenotype","","Aplasia/Hypoplasia involving bones of the feet","0.0026","NIPBL|RAD21|SMC1A|SMC3","580","729|765|777|759","3.83E-5","","HP:0006494","0.2585026652029182","0"
"76","3","Reactome Pathways","","Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins","0.0027","PLK1|CDC20|CDK1","580","711|672|699","3.34E-5","","HSA-176814","0.25686362358410125","0"
"249","4","Monarch Phenotype","","Short nose","0.0028","NIPBL|RAD21|SMC1A|SMC3","580","729|765|777|759","4.27E-5","","HP:0003196","0.2552841968657781","0"
"511","5","Monarch Phenotype","","Depressed nasal bridge","0.0028","STAG2|NIPBL|RAD21|SMC1A|SMC3","580","669|729|765|777|759","4.14E-5","","HP:0005280","0.2552841968657781","0"
"897","6","Monarch Phenotype","","Abnormal nasal bridge morphology","0.0032","STAG2|NIPBL|RAD21|SMC1A|SMC3|STAG1","580","669|729|765|777|759|747","4.9E-5","","HP:0000422","0.24948500216800942","0"
"259","4","Monarch Phenotype","","Cerebral cortical atrophy","0.0032","NIPBL|RAD21|SMC1A|SMC3","580","729|765|777|759","4.97E-5","","HP:0002120","0.24948500216800942","0"
"151","4","STRING Clusters","","Mixed, incl. Mitotic Spindle Checkpoint, and Mitotic sister chromatid segregation","0.0032","ESPL1|PLK1|AURKB|CDC20","580","735|711|705|672","6.21E-6","","CL:6596","0.24948500216800942","0"
"535","5","Monarch Phenotype","","Abnormality of the philtrum","0.0033","STAG2|NIPBL|RAD21|SMC1A|SMC3","580","669|729|765|777|759","5.15E-5","","HP:0000288","0.24814860601221125","0"
"905","6","Monarch Phenotype","","Abnormal joint morphology","0.0033","STAG2|NIPBL|RAD21|SMC1A|SMC3|STAG1","580","669|729|765|777|759|747","5.14E-5","","HP:0001367","0.24814860601221125","0"
"7","2","GO Biological Process","","Replication-born double-strand break repair via sister chromatid exchange","0.0034","NIPBL|RAD21","580","729|765","2.22E-5","","GO:1990414","0.2468521082957745","0"
