"# background genes","# genes","category","chart color","description","FDR value","genes","network.SUID","nodes.SUID","p-value","PMID","term name","transferred FDR value","year"
"34","14","WikiPathways","","Cohesin complex - Cornelia de Lange syndrome","2.94E-33","STAG2|ESPL1|MAU2|CDCA5|NIPBL|RAD21|WAPL|PLK1|PDS5A|PDS5B|AURKB|SMC1A|SMC3|CDK1","580","669|735|717|723|729|765|753|711|771|741|705|777|759|699","3.77E-36","","WP5117","3.253165266958784","0"
"11","11","STRING Clusters","","Cohesin Loading onto Chromatin","3.22E-27","STAG2|MAU2|CDCA5|NIPBL|RAD21|WAPL|PDS5A|PDS5B|SMC1A|SMC3|STAG1","580","669|717|723|729|765|753|771|741|777|759|747","7.03E-31","","CL:7353","2.6492144128304167","0"
"13","11","Reactome Pathways","","Mitotic Telophase/Cytokinesis","5.68E-27","STAG2|MAU2|NIPBL|RAD21|WAPL|PLK1|PDS5A|PDS5B|SMC1A|SMC3|STAG1","580","669|717|729|765|753|711|771|741|777|759|747","2.49E-30","","HSA-68884","2.6245651664288983","0"
"10","10","Reactome Pathways","","Cohesin Loading onto Chromatin","6.44E-25","STAG2|MAU2|NIPBL|RAD21|WAPL|PDS5A|PDS5B|SMC1A|SMC3|STAG1","580","669|717|729|765|753|771|741|777|759|747","6.05E-28","","HSA-2470946","2.4191114132640186","0"
"382","16","Reactome Pathways","","M Phase","6.44E-25","STAG2|ESPL1|MAU2|CDCA5|NIPBL|RAD21|WAPL|PLK1|PDS5A|PDS5B|AURKB|SMC1A|SMC3|CDC20|STAG1|CDK1","580","669|735|717|723|729|765|753|711|771|741|705|777|759|672|747|699","5.64E-28","","HSA-68886","2.4191114132640186","0"
"42","12","GO Biological Process","","Sister chromatid cohesion","1.35E-24","STAG2|MAU2|CDCA5|NIPBL|RAD21|PLK1|PDS5A|PDS5B|SMC1A|SMC3|CDC20|STAG1","580","669|717|723|729|765|711|771|741|777|759|672|747","8.63E-29","","GO:0007062","2.3869666231504993","0"
"144","14","GO Biological Process","","Sister chromatid segregation","2.32E-24","STAG2|ESPL1|MAU2|CDCA5|NIPBL|RAD21|PLK1|PDS5A|PDS5B|AURKB|SMC1A|SMC3|CDC20|STAG1","580","669|735|717|723|729|765|711|771|741|705|777|759|672|747","2.96E-28","","GO:0000819","2.3634512015109097","0"
"125","13","Reactome Pathways","","Resolution of Sister Chromatid Cohesion","1.7E-23","STAG2|CDCA5|RAD21|WAPL|PLK1|PDS5A|PDS5B|AURKB|SMC1A|SMC3|CDC20|STAG1|CDK1","580","669|723|765|753|711|771|741|705|777|759|672|747|699","2.99E-26","","HSA-2500257","2.2769551078621726","0"
"232","14","Reactome Pathways","","Mitotic Anaphase","6.83E-23","STAG2|ESPL1|CDCA5|RAD21|WAPL|PLK1|PDS5A|PDS5B|AURKB|SMC1A|SMC3|CDC20|STAG1|CDK1","580","669|735|723|765|753|711|771|741|705|777|759|672|747|699","1.79E-25","","HSA-68882","2.2165579296318465","0"
"11","9","Reactome Pathways","","Establishment of Sister Chromatid Cohesion","4.41E-22","STAG2|CDCA5|RAD21|WAPL|PDS5A|PDS5B|SMC1A|SMC3|STAG1","580","669|723|765|753|771|741|777|759|747","1.55E-24","","HSA-2468052","2.135556141053216","0"
"189","13","Reactome Pathways","","Separation of Sister Chromatids","1.16E-21","STAG2|ESPL1|CDCA5|RAD21|WAPL|PLK1|PDS5A|PDS5B|AURKB|SMC1A|SMC3|CDC20|STAG1","580","669|735|723|765|753|711|771|741|705|777|759|672|747","5.06E-24","","HSA-2467813","2.093554201077308","0"
"275","14","UniProt Keywords","","Mitosis","1.21E-21","STAG2|MAU2|CDCA5|RAD21|WAPL|PLK1|PDS5A|PDS5B|AURKB|SMC1A|SMC3|CDC20|STAG1|CDK1","580","669|717|723|765|753|711|771|741|705|777|759|672|747|699","1.8E-24","","KW-0498","2.091721462968355","0"
"175","13","GO Biological Process","","Mitotic nuclear division","7.58E-21","STAG2|ESPL1|MAU2|CDCA5|NIPBL|PLK1|PDS5A|PDS5B|AURKB|SMC1A|SMC3|CDC20|STAG1","580","669|735|717|723|729|711|771|741|705|777|759|672|747","1.93E-24","","GO:0140014","2.0120330794367947","0"
"15","9","COMPARTMENTS","","Cohesin complex","2.77E-20","STAG2|ESPL1|NIPBL|RAD21|WAPL|PDS5A|SMC1A|SMC3|STAG1","580","669|735|729|765|753|771|777|759|747","1.2E-23","","GOCC:0008278","1.9557520230935552","0"
"323","14","GO Biological Process","","Nuclear division","4.23E-20","STAG2|ESPL1|MAU2|CDCA5|NIPBL|RAD21|PLK1|PDS5A|PDS5B|AURKB|SMC1A|SMC3|CDC20|STAG1","580","669|735|717|723|729|765|711|771|741|705|777|759|672|747","1.62E-23","","GO:0000280","1.9373659632624958","0"
"527","15","GO Biological Process","","Cell division","1.04E-19","STAG2|ESPL1|MAU2|CDCA5|RAD21|WAPL|PLK1|PDS5A|PDS5B|AURKB|SMC1A|SMC3|CDC20|STAG1|CDK1","580","669|735|717|723|765|753|711|771|741|705|777|759|672|747|699","5.0E-23","","GO:0051301","1.898296666070122","0"
"651","15","UniProt Keywords","","Cell cycle","2.54E-19","STAG2|MAU2|CDCA5|NIPBL|RAD21|WAPL|PLK1|PDS5A|PDS5B|AURKB|SMC1A|SMC3|CDC20|STAG1|CDK1","580","669|717|723|729|765|753|711|771|741|705|777|759|672|747|699","1.13E-21","","KW-0131","1.8595166283380062","0"
"631","15","GO Biological Process","","Mitotic cell cycle","1.24E-18","STAG2|ESPL1|MAU2|CDCA5|NIPBL|WAPL|PLK1|PDS5A|PDS5B|AURKB|SMC1A|SMC3|CDC20|STAG1|CDK1","580","669|735|717|723|729|753|711|771|741|705|777|759|672|747|699","7.14E-22","","GO:0000278","1.7906578314837767","0"
"122","11","GO Biological Process","","Mitotic sister chromatid segregation","5.75E-18","ESPL1|MAU2|CDCA5|NIPBL|PLK1|PDS5A|PDS5B|AURKB|SMC1A|SMC3|CDC20","580","735|717|723|729|711|771|741|705|777|759|672","3.67E-21","","GO:0000070","1.724033215531037","0"
"227","12","COMPARTMENTS","","Chromosomal region","1.53E-17","STAG2|CDCA5|RAD21|WAPL|PLK1|PDS5A|PDS5B|AURKB|SMC1A|SMC3|STAG1|CDK1","580","669|723|765|753|711|771|741|705|777|759|747|699","1.33E-20","","GOCC:0098687","1.6815308569182403","0"
"537","14","GO Biological Process","","Mitotic cell cycle process","2.45E-17","STAG2|ESPL1|MAU2|CDCA5|NIPBL|PLK1|PDS5A|PDS5B|AURKB|SMC1A|SMC3|CDC20|STAG1|CDK1","580","669|735|717|723|729|711|771|741|705|777|759|672|747|699","1.72E-20","","GO:1903047","1.6610833915635468","0"
"18","8","GO Biological Process","","Mitotic sister chromatid cohesion","4.62E-17","MAU2|CDCA5|NIPBL|PDS5A|PDS5B|SMC1A|SMC3|CDC20","580","717|723|729|771|741|777|759|672","3.53E-20","","GO:0007064","1.6335358024443873","0"
"160","11","COMPARTMENTS","","Chromosome, centromeric region","4.87E-17","STAG2|CDCA5|RAD21|WAPL|PLK1|PDS5A|PDS5B|AURKB|SMC1A|SMC3|STAG1","580","669|723|765|753|711|771|741|705|777|759|747","6.35E-20","","GOCC:0000775","1.6312471038785366","0"
"835","15","GO Biological Process","","Cell cycle process","5.44E-17","STAG2|ESPL1|MAU2|CDCA5|NIPBL|RAD21|PLK1|PDS5A|PDS5B|AURKB|SMC1A|SMC3|CDC20|STAG1|CDK1","580","669|735|717|723|729|765|711|771|741|705|777|759|672|747|699","4.51E-20","","GO:0022402","1.6264401100301822","0"
"1246","16","GO Biological Process","","Cell cycle","8.14E-17","STAG2|ESPL1|MAU2|CDCA5|NIPBL|RAD21|WAPL|PLK1|PDS5A|PDS5B|AURKB|SMC1A|SMC3|CDC20|STAG1|CDK1","580","669|735|717|723|729|765|753|711|771|741|705|777|759|672|747|699","7.27E-20","","GO:0007049","1.6089375595110798","0"
"951","15","COMPARTMENTS","","Chromosome","1.78E-16","STAG2|ESPL1|MAU2|CDCA5|NIPBL|RAD21|WAPL|PLK1|PDS5A|PDS5B|AURKB|SMC1A|SMC3|STAG1|CDK1","580","669|735|717|723|729|765|753|711|771|741|705|777|759|747|699","3.1E-19","","GOCC:0005694","1.5749579997691106","0"
"205","11","COMPARTMENTS","","Condensed chromosome","4.05E-16","STAG2|ESPL1|NIPBL|RAD21|WAPL|PLK1|PDS5A|AURKB|SMC1A|SMC3|STAG1","580","669|735|729|765|753|711|771|705|777|759|747","8.8E-19","","GOCC:0000793","1.5392544976785332","0"
"968","15","GO Biological Process","","Chromosome organization","4.22E-16","STAG2|ESPL1|MAU2|CDCA5|NIPBL|RAD21|PLK1|PDS5A|PDS5B|AURKB|SMC1A|SMC3|CDC20|STAG1|CDK1","580","669|735|717|723|729|765|711|771|741|705|777|759|672|747|699","4.03E-19","","GO:0051276","1.5374687549038326","0"
"10","7","GO Biological Process","","Establishment of sister chromatid cohesion","9.47E-16","STAG2|MAU2|NIPBL|RAD21|SMC1A|SMC3|STAG1","580","669|717|729|765|777|759|747","9.66E-19","","GO:0034085","1.5023650020996726","0"
"365","12","GO Cellular Component","","Chromosomal region","6.99E-15","STAG2|CDCA5|RAD21|WAPL|PLK1|PDS5A|PDS5B|AURKB|SMC1A|SMC3|STAG1|CDK1","580","669|723|765|753|711|771|741|705|777|759|747|699","3.41E-18","","GO:0098687","1.4155522824254319","0"
"252","11","GO Cellular Component","","Chromosome, centromeric region","8.14E-15","STAG2|CDCA5|RAD21|WAPL|PLK1|PDS5A|PDS5B|AURKB|SMC1A|SMC3|STAG1","580","669|723|765|753|711|771|741|705|777|759|747","7.95E-18","","GO:0000775","1.4089375595110798","0"
"120","9","KEGG Pathways","","Cell cycle","6.12E-14","STAG2|ESPL1|RAD21|PLK1|SMC1A|SMC3|CDC20|STAG1|CDK1","580","669|735|765|711|777|759|672|747|699","1.82E-16","","hsa04110","1.3213248577854437","0"
"120","9","WikiPathways","","Cell cycle","7.12E-14","STAG2|ESPL1|RAD21|PLK1|SMC1A|SMC3|CDC20|STAG1|CDK1","580","669|735|765|711|777|759|672|747|699","1.82E-16","","WP179","1.3147520006363143","0"
"433","11","UniProt Keywords","","Chromosome","4.43E-13","STAG2|MAU2|CDCA5|NIPBL|RAD21|WAPL|PLK1|AURKB|SMC1A|SMC3|STAG1","580","669|717|723|729|765|753|711|705|777|759|747","2.64E-15","","KW-0158","1.235359627377693","0"
"15","6","WikiPathways","","Regulation of sister chromatid separation at the metaphase-anaphase transition","1.38E-12","ESPL1|RAD21|SMC1A|SMC3|CDC20|STAG1","580","735|765|777|759|672|747","5.3E-15","","WP4240","1.1860120913598764","0"
"425","11","GO Cellular Component","","Spindle","1.47E-12","STAG2|ESPL1|RAD21|WAPL|PLK1|AURKB|SMC1A|SMC3|CDC20|STAG1|CDK1","580","669|735|765|753|711|705|777|759|672|747|699","2.16E-15","","GO:0005819","1.1832682665251824","0"
"289","10","COMPARTMENTS","","Spindle","1.57E-12","STAG2|ESPL1|WAPL|PLK1|AURKB|SMC1A|SMC3|CDC20|STAG1|CDK1","580","669|735|753|711|705|777|759|672|747|699","4.09E-15","","GOCC:0005819","1.1804100347590767","0"
"180","9","GO Cellular Component","","Mitotic spindle","3.12E-12","STAG2|ESPL1|WAPL|PLK1|AURKB|SMC1A|SMC3|STAG1|CDK1","580","669|735|753|711|705|777|759|747|699","6.1E-15","","GO:0072686","1.1505845405981556","0"
"5","5","COMPARTMENTS","","SMC loading complex","1.46E-11","MAU2|NIPBL|RAD21|WAPL|SMC3","580","717|729|765|753|759","4.43E-14","","GOCC:0032116","1.0835647144215563","0"
"5","5","STRING Clusters","","Establishment of meiotic sister chromatid cohesion","2.53E-11","STAG2|RAD21|SMC1A|SMC3|STAG1","580","669|765|777|759|747","4.43E-14","","CL:7356","1.0596879478824182","0"
"129","8","GO Biological Process","","Microtubule cytoskeleton organization involved in mitosis","5.01E-11","STAG2|ESPL1|PLK1|AURKB|SMC1A|SMC3|CDC20|STAG1","580","669|735|711|705|777|759|672|747","5.43E-14","","GO:1902850","1.0300162274132754","0"
"6","5","GO Biological Process","","Establishment of meiotic sister chromatid cohesion","7.07E-11","STAG2|RAD21|SMC1A|SMC3|STAG1","580","669|765|777|759|747","8.11E-14","","GO:0034089","1.01505805862031","0"
"3309","16","COMPARTMENTS","","Intracellular non-membrane-bounded organelle","1.2E-10","STAG2|ESPL1|MAU2|CDCA5|NIPBL|RAD21|WAPL|PLK1|PDS5A|PDS5B|AURKB|SMC1A|SMC3|CDC20|STAG1|CDK1","580","669|735|717|723|729|765|753|711|771|741|705|777|759|672|747|699","4.16E-13","","GOCC:0043232","0.9920818753952375","0"
"169","8","GO Cellular Component","","Spindle pole","1.78E-10","STAG2|RAD21|PLK1|AURKB|SMC1A|SMC3|CDC20|STAG1","580","669|765|711|705|777|759|672|747","4.36E-13","","GO:0000922","0.9749579997691106","0"
"1850","14","GO Cellular Component","","Chromosome","1.78E-10","STAG2|MAU2|CDCA5|NIPBL|RAD21|WAPL|PLK1|PDS5A|PDS5B|AURKB|SMC1A|SMC3|STAG1|CDK1","580","669|717|723|729|765|753|711|771|741|705|777|759|747|699","4.36E-13","","GO:0005694","0.9749579997691106","0"
"10","5","GO Cellular Component","","Cohesin complex","1.78E-10","STAG2|RAD21|SMC1A|SMC3|STAG1","580","669|765|777|759|747","5.26E-13","","GO:0008278","0.9749579997691106","0"
"36","6","GO Cellular Component","","Mitotic spindle pole","1.78E-10","STAG2|PLK1|AURKB|SMC1A|SMC3|STAG1","580","669|711|705|777|759|747","5.07E-13","","GO:0097431","0.9749579997691106","0"
"160","8","GO Biological Process","","Spindle organization","2.36E-10","STAG2|ESPL1|PLK1|AURKB|SMC1A|SMC3|CDC20|STAG1","580","669|735|711|705|777|759|672|747","2.86E-13","","GO:0007051","0.9627087997029893","0"
"92","7","GO Biological Process","","Protein localization to chromosome","5.61E-10","MAU2|NIPBL|RAD21|WAPL|PLK1|AURKB|CDK1","580","717|729|765|753|711|705|699","7.15E-13","","GO:0034502","0.9251037138743838","0"
"97","7","GO Biological Process","","Mitotic spindle organization","7.61E-10","STAG2|PLK1|AURKB|SMC1A|SMC3|CDC20|STAG1","580","669|711|705|777|759|672|747","1.02E-12","","GO:0007052","0.9118615343229427","0"
"98","7","GO Biological Process","","Meiotic chromosome segregation","7.78E-10","STAG2|ESPL1|RAD21|PLK1|SMC1A|SMC3|STAG1","580","669|735|765|711|777|759|747","1.09E-12","","GO:0045132","0.9109020403010311","0"
"118","7","COMPARTMENTS","","Spindle pole","8.73E-10","STAG2|PLK1|AURKB|SMC1A|SMC3|CDC20|STAG1","580","669|711|705|777|759|672|747","3.79E-12","","GOCC:0000922","0.905898575629443","0"
"8","5","DISEASES","","Cornelia de Lange syndrome","1.04E-9","NIPBL|RAD21|PDS5A|SMC1A|SMC3","580","729|765|771|777|759","2.26E-13","","DOID:11725","0.8982966660701219","0"
"138","7","UniProt Keywords","","Centromere","1.46E-9","STAG2|RAD21|PLK1|AURKB|SMC1A|SMC3|STAG1","580","669|765|711|705|777|759|747","1.09E-11","","KW-0137","0.8835647144215564","0"
"133","7","COMPARTMENTS","","Mitotic spindle","1.78E-9","STAG2|ESPL1|WAPL|SMC1A|SMC3|STAG1|CDK1","580","669|735|753|777|759|747|699","8.49E-12","","GOCC:0072686","0.8749579997691106","0"
"51","6","GO Biological Process","","Mitotic spindle assembly","2.38E-9","STAG2|AURKB|SMC1A|SMC3|CDC20|STAG1","580","669|705|777|759|672|747","3.49E-12","","GO:0090307","0.8623423042943488","0"
"6","4","COMPARTMENTS","","Nuclear meiotic cohesin complex","1.16E-8","STAG2|RAD21|SMC1A|SMC3","580","669|765|777|759","6.06E-11","","GOCC:0034991","0.7935542010773082","0"
"82","6","GO Cellular Component","","Condensed nuclear chromosome","1.17E-8","STAG2|RAD21|WAPL|PLK1|SMC1A|SMC3","580","669|765|753|711|777|759","5.14E-11","","GO:0000794","0.7931814138253839","0"
"4787","16","COMPARTMENTS","","Nucleus","2.34E-8","STAG2|ESPL1|MAU2|CDCA5|NIPBL|RAD21|WAPL|PLK1|PDS5A|PDS5B|AURKB|SMC1A|SMC3|CDC20|STAG1|CDK1","580","669|735|717|723|729|765|753|711|771|741|705|777|759|672|747|699","1.51E-10","","GOCC:0005634","0.7630784142589857","0"
"14","5","Monarch Phenotype","","Curly eyelashes","2.48E-8","STAG2|NIPBL|RAD21|SMC1A|SMC3","580","669|729|765|777|759","2.03E-12","","HP:0007665","0.7605548319173784","0"
"8","4","GO Cellular Component","","Nuclear meiotic cohesin complex","2.92E-8","STAG2|RAD21|SMC1A|SMC3","580","669|765|777|759","1.43E-10","","GO:0034991","0.7534617148551581","0"
"84","6","GO Biological Process","","Negative regulation of chromosome organization","3.19E-8","ESPL1|RAD21|WAPL|PLK1|AURKB|CDC20","580","735|765|753|711|705|672","5.9E-11","","GO:2001251","0.7496209316942819","0"
"45","5","UniProt Keywords","","Chromosome partition","4.09E-8","STAG2|ESPL1|MAU2|RAD21|STAG1","580","669|735|717|765|747","3.65E-10","","KW-0159","0.7388276691992658","0"
"542","9","GO Biological Process","","Microtubule cytoskeleton organization","4.59E-8","STAG2|ESPL1|PLK1|AURKB|SMC1A|SMC3|CDC20|STAG1|CDK1","580","669|735|711|705|777|759|672|747|699","9.37E-11","","GO:0000226","0.7338187314462739","0"
"1285","11","GO Cellular Component","","Chromatin","4.81E-8","STAG2|MAU2|CDCA5|NIPBL|RAD21|WAPL|PLK1|PDS5A|PDS5B|SMC3|STAG1","580","669|717|723|729|765|753|711|771|741|759|747","3.06E-10","","GO:0000785","0.7317854923626168","0"
"5191","16","GO Cellular Component","","Intracellular non-membrane-bounded organelle","7.85E-8","STAG2|ESPL1|MAU2|CDCA5|NIPBL|RAD21|WAPL|PLK1|PDS5A|PDS5B|AURKB|SMC1A|SMC3|CDC20|STAG1|CDK1","580","669|735|717|723|729|765|753|711|771|741|705|777|759|672|747|699","5.51E-10","","GO:0043232","0.7105130343254747","0"
"121","6","KEGG Pathways","","Oocyte meiosis","8.1E-8","ESPL1|PLK1|SMC1A|SMC3|CDC20|CDK1","580","735|711|777|759|672|699","4.82E-10","","hsa04114","0.7091514981121351","0"
"4169","15","GO Cellular Component","","Nucleoplasm","1.21E-7","STAG2|MAU2|CDCA5|NIPBL|RAD21|WAPL|PLK1|PDS5A|PDS5B|AURKB|SMC1A|SMC3|CDC20|STAG1|CDK1","580","669|717|723|729|765|753|711|771|741|705|777|759|672|747|699","1.0E-9","","GO:0005654","0.691721462968355","0"
"275","7","GO Cellular Component","","Condensed chromosome","1.33E-7","STAG2|RAD21|WAPL|PLK1|AURKB|SMC1A|SMC3","580","669|765|753|711|705|777|759","1.17E-9","","GO:0000793","0.6876148359032914","0"
"44","5","GO Biological Process","","Protein localization to chromatin","1.52E-7","MAU2|NIPBL|RAD21|WAPL|PLK1","580","717|729|765|753|711","3.29E-10","","GO:0071168","0.6818156412055227","0"
"476","8","COMPARTMENTS","","Chromatin","1.83E-7","STAG2|MAU2|CDCA5|WAPL|PDS5A|PDS5B|SMC3|STAG1","580","669|717|723|753|771|741|759|747","1.35E-9","","GOCC:0000785","0.6737548910269571","0"
"7","4","DISEASES","","Roberts syndrome","2.19E-7","NIPBL|PDS5A|SMC1A|SMC3","580","729|771|777|759","9.51E-11","","DOID:5325","0.6659555885159881","0"
"60","5","Reactome Pathways","","Meiotic synapsis","2.48E-7","STAG2|RAD21|SMC1A|SMC3|STAG1","580","669|765|777|759|747","1.41E-9","","HSA-1221632","0.6605548319173784","0"
"253","7","GO Biological Process","","Regulation of chromosome organization","2.88E-7","ESPL1|CDCA5|RAD21|WAPL|PLK1|AURKB|CDC20","580","735|723|765|753|711|705|672","6.62E-10","","GO:0033044","0.6540607512240769","0"
"128","6","GO Biological Process","","Regulation of chromosome segregation","2.88E-7","ESPL1|RAD21|WAPL|PLK1|AURKB|CDC20","580","735|765|753|711|705|672","6.67E-10","","GO:0051983","0.6540607512240769","0"
"69","5","COMPARTMENTS","","Nuclear matrix","3.51E-7","STAG2|RAD21|SMC1A|SMC3|STAG1","580","669|765|777|759|747","2.75E-9","","GOCC:0016363","0.6454692883534177","0"
"73","5","COMPARTMENTS","","Condensed nuclear chromosome","4.35E-7","STAG2|RAD21|AURKB|SMC1A|SMC3","580","669|765|705|777|759","3.59E-9","","GOCC:0000794","0.6361510743045363","0"
"272","7","GO Biological Process","","Negative regulation of cell cycle process","4.46E-7","ESPL1|RAD21|WAPL|PLK1|AURKB|CDC20|CDK1","580","735|765|753|711|705|672|699","1.08E-9","","GO:0010948","0.6350665141287858","0"
"166","6","Reactome Pathways","","SUMO E3 ligases SUMOylate target proteins","4.91E-7","STAG2|RAD21|AURKB|SMC1A|SMC3|STAG1","580","669|765|705|777|759|747","3.01E-9","","HSA-3108232","0.6308918507877032","0"
"75","5","Reactome Pathways","","SUMOylation of DNA damage response and repair proteins","5.83E-7","STAG2|RAD21|SMC1A|SMC3|STAG1","580","669|765|777|759|747","4.09E-9","","HSA-3108214","0.6234331445240986","0"
"744","9","GO Biological Process","","Cellular response to DNA damage stimulus","5.97E-7","CDCA5|NIPBL|RAD21|PLK1|PDS5A|PDS5B|SMC1A|SMC3|CDK1","580","723|729|765|711|771|741|777|759|699","1.48E-9","","GO:0006974","0.6224025668870631","0"
"497","8","GO Biological Process","","DNA repair","7.39E-7","CDCA5|NIPBL|RAD21|PDS5A|PDS5B|SMC1A|SMC3|CDK1","580","723|729|765|771|741|777|759|699","1.88E-9","","GO:0006281","0.6131355561605174","0"
"21","4","GO Biological Process","","Regulation of sister chromatid cohesion","1.35E-6","ESPL1|CDCA5|RAD21|WAPL","580","735|723|765|753","3.62E-9","","GO:0007063","0.5869666231504993","0"
"332","7","GO Biological Process","","Regulation of mitotic cell cycle phase transition","1.53E-6","ESPL1|CDCA5|RAD21|PLK1|AURKB|CDC20|CDK1","580","735|723|765|711|705|672|699","4.18E-9","","GO:1901990","0.5815308569182401","0"
"31","4","COMPARTMENTS","","Mitotic spindle pole","1.63E-6","STAG2|SMC1A|SMC3|STAG1","580","669|777|759|747","1.49E-8","","GOCC:0097431","0.5787812395596041","0"
"11","4","Monarch Phenotype","","Phthisis bulbi","2.4E-6","NIPBL|RAD21|SMC1A|SMC3","580","729|765|777|759","3.93E-10","","HP:0000667","0.5619788758288393","0"
"13","4","Monarch Phenotype","","Volvulus","2.4E-6","NIPBL|RAD21|SMC1A|SMC3","580","729|765|777|759","6.84E-10","","HP:0002580","0.5619788758288393","0"
"12","4","Monarch Phenotype","","Abnormally low-pitched voice","2.4E-6","NIPBL|RAD21|SMC1A|SMC3","580","729|765|777|759","5.23E-10","","HP:0010300","0.5619788758288393","0"
"5278","15","UniProt Keywords","","Nucleus","3.08E-6","STAG2|ESPL1|MAU2|CDCA5|NIPBL|RAD21|WAPL|PLK1|PDS5A|PDS5B|AURKB|SMC1A|SMC3|STAG1|CDK1","580","669|735|717|723|729|765|753|711|771|741|705|777|759|747|699","3.2E-8","","KW-0539","0.5511449283499557","0"
"91","5","GO Biological Process","","Regulation of mitotic metaphase/anaphase transition","3.52E-6","ESPL1|RAD21|PLK1|AURKB|CDC20","580","735|765|711|705|672","1.03E-8","","GO:0030071","0.545345733652187","0"
"62","5","Monarch Phenotype","","Cutis marmorata","4.03E-6","NIPBL|RAD21|SMC1A|SMC3|STAG1","580","729|765|777|759|747","1.65E-9","","HP:0000965","0.5394694953858891","0"
"17","4","Monarch Phenotype","","Short 1st metacarpal","4.03E-6","NIPBL|RAD21|SMC1A|SMC3","580","729|765|777|759","1.72E-9","","HP:0010034","0.5394694953858891","0"
"6","3","Reactome Pathways","","Phosphorylation of Emi1","4.41E-6","PLK1|CDC20|CDK1","580","711|672|699","3.67E-8","","HSA-176417","0.5355561410532161","0"
"119","5","Reactome Pathways","","Estrogen-dependent gene expression","4.41E-6","STAG2|RAD21|SMC1A|SMC3|STAG1","580","669|765|777|759|747","3.75E-8","","HSA-9018519","0.5355561410532161","0"
"5438","15","GO Cellular Component","","Cytosol","4.84E-6","STAG2|ESPL1|CDCA5|NIPBL|RAD21|WAPL|PLK1|PDS5A|PDS5B|AURKB|SMC1A|SMC3|CDC20|STAG1|CDK1","580","669|735|723|729|765|753|711|771|741|705|777|759|672|747|699","4.96E-8","","GO:0005829","0.5315154638355588","0"
"128","5","GO Cellular Component","","Nuclear matrix","4.96E-6","STAG2|RAD21|SMC1A|SMC3|STAG1","580","669|765|777|759|747","5.33E-8","","GO:0016363","0.5304518323509803","0"
"33","4","GO Biological Process","","Negative regulation of mitotic metaphase/anaphase transition","6.02E-6","RAD21|PLK1|AURKB|CDC20","580","765|711|705|672","1.88E-8","","GO:0045841","0.5220403508742175","0"
"73","5","Monarch Phenotype","","Congenital diaphragmatic hernia","6.26E-6","STAG2|NIPBL|RAD21|SMC1A|SMC3","580","669|729|765|777|759","3.59E-9","","HP:0000776","0.5203425666789571","0"
"24","4","Monarch Phenotype","","Increased nuchal translucency","7.94E-6","NIPBL|RAD21|SMC1A|SMC3","580","729|765|777|759","5.85E-9","","HP:0010880","0.5100179497572903","0"
"716","8","GO Biological Process","","Regulation of cell cycle process","8.39E-6","ESPL1|CDCA5|RAD21|WAPL|PLK1|AURKB|CDC20|CDK1","580","735|723|765|753|711|705|672|699","3.15E-8","","GO:0010564","0.50762380391713","0"
"118","5","GO Biological Process","","Regulation of mitotic nuclear division","9.41E-6","ESPL1|RAD21|PLK1|AURKB|CDC20","580","735|765|711|705|672","3.6E-8","","GO:0007088","0.5026410376572743","0"
"216","6","Monarch Phenotype","","Abnormal eyelash morphology","1.01E-5","STAG2|NIPBL|RAD21|SMC1A|SMC3|STAG1","580","669|729|765|777|759|747","1.39E-8","","HP:0000499","0.4995678626217358","0"
"87","5","Monarch Phenotype","","Long eyelashes","1.01E-5","NIPBL|RAD21|SMC1A|SMC3|STAG1","580","729|765|777|759|747","8.32E-9","","HP:0000527","0.4995678626217358","0"
"30","4","Monarch Phenotype","","Hypoplastic nipples","1.01E-5","NIPBL|RAD21|SMC1A|SMC3","580","729|765|777|759","1.32E-8","","HP:0002557","0.4995678626217358","0"
"29","4","Monarch Phenotype","","Severe postnatal growth retardation","1.01E-5","NIPBL|RAD21|SMC1A|SMC3","580","729|765|777|759","1.17E-8","","HP:0008850","0.4995678626217358","0"
"27","4","Monarch Phenotype","","Oligodactyly","1.01E-5","NIPBL|RAD21|SMC1A|SMC3","580","729|765|777|759","8.98E-9","","HP:0012165","0.4995678626217358","0"
"32","4","Monarch Phenotype","","Proximal placement of thumb","1.14E-5","NIPBL|RAD21|SMC1A|SMC3","580","729|765|777|759","1.68E-8","","HP:0009623","0.4943095148663527","0"
"3","3","DISEASES","","Cornelia de Lange syndrome 3","1.34E-5","NIPBL|SMC1A|SMC3","580","729|777|759","8.76E-9","","DOID:0080507","0.4872895201635193","0"
"3","3","DISEASES","","Familial isolated trichomegaly","1.34E-5","NIPBL|SMC1A|SMC3","580","729|777|759","8.76E-9","","DOID:0111566","0.4872895201635193","0"
"35","4","Monarch Phenotype","","Deviation of the thumb","1.5E-5","NIPBL|RAD21|SMC1A|SMC3","580","729|765|777|759","2.34E-8","","HP:0009603","0.4823908740944319","0"
"159","5","COMPARTMENTS","","DNA packaging complex","1.52E-5","STAG2|RAD21|SMC1A|SMC3|STAG1","580","669|765|777|759|747","1.52E-7","","GOCC:0044815","0.4818156412055227","0"
"36","4","Monarch Phenotype","","Hypoplastic labia majora","1.58E-5","NIPBL|RAD21|SMC1A|SMC3","580","729|765|777|759","2.6E-8","","HP:0000059","0.4801342913045577","0"
